wavelength	dark	baseline
367.38261411422036	2816.0	15104.0
367.84285145081884	2804.0	15026.0
368.30306045505733	2814.0	15054.0
368.76324112709466	2787.0	14907.0
369.22339346708986	2805.0	14945.0
369.6835174752017	2799.0	15013.0
370.1436131515895	2799.0	14863.0
370.6036804964119	2787.0	14729.0
371.063719509828	2807.0	14863.0
371.52373019199666	2797.0	14757.0
371.98371254307693	2793.0	14714.0
372.4436665632278	2796.0	14715.0
372.9035922526082	2795.0	14787.0
373.3634896113769	2799.0	14725.0
373.8233586396931	2805.0	14743.0
374.28319933771576	2800.0	14810.0
374.7430117056037	2801.0	14896.0
375.2027957435159	2807.0	14901.0
375.66255145161136	2817.0	15134.0
376.1222788300491	2793.0	15075.0
376.58197787898797	2789.0	15115.0
377.0416485985869	2808.0	15187.0
377.501290989005	2809.0	15284.0
377.96090505040115	2804.0	15423.0
378.4204907829342	2800.0	15687.0
378.8800481867633	2811.0	15818.0
379.3395772620473	2800.0	15915.0
379.79907800894523	2804.0	16163.0
380.25855042761594	2799.0	15926.0
380.7179945182184	2805.0	15705.0
381.17741028091166	2792.0	15777.0
381.6367977158547	2809.0	15696.0
382.09615682320634	2800.0	15745.0
382.5554876031256	2817.0	15819.0
383.01479005577147	2807.0	15985.0
383.4740641813028	2809.0	15793.0
383.9333099798788	2802.0	15802.0
384.3925274516582	2816.0	15847.0
384.8517165968	2797.0	15866.0
385.31087741546315	2808.0	15875.0
385.77000990780664	2812.0	15704.0
386.2291140739895	2808.0	15768.0
386.68818991417055	2805.0	15736.0
387.14723742850884	2809.0	15924.0
387.60625661716335	2795.0	16035.0
388.06524748029295	2793.0	16305.0
388.5242100180566	2807.0	16328.0
388.9831442306133	2791.0	16393.0
389.4420501181221	2810.0	16227.0
389.9009276807418	2805.0	15990.0
390.3597769186314	2804.0	15934.0
390.81859783194983	2802.0	15937.0
391.27739042085625	2793.0	16114.0
391.73615468550935	2800.0	16413.0
392.1948906260683	2809.0	16781.0
392.6535982426919	2794.0	17215.0
393.1122775355392	2807.0	17620.0
393.57092850476914	2799.0	17594.0
394.0295511505406	2793.0	17149.0
394.48814547301265	2801.0	16611.0
394.9467114723442	2790.0	16573.0
395.4052491486942	2792.0	16675.0
395.8637585022217	2791.0	16488.0
396.3222395330855	2800.0	16478.0
396.7806922414447	2804.0	16756.0
397.2391166274582	2806.0	16845.0
397.69751269128494	2818.0	17187.0
398.1558804330839	2804.0	17946.0
398.614219853014	2783.0	18075.0
399.0725309512343	2808.0	18317.0
399.53081372790365	2787.0	17930.0
399.989068183181	2811.0	17528.0
400.44729431722544	2801.0	17197.0
400.9054921301958	2809.0	17134.0
401.36366162225113	2811.0	16951.0
401.8218027935503	2798.0	16861.0
402.27991564425236	2812.0	16824.0
402.7380001745162	2790.0	16830.0
403.1960563845008	2807.0	16691.0
403.6540842743651	2804.0	16777.0
404.11208384426806	2796.0	16760.0
404.5700550943687	2790.0	16866.0
405.02799802482593	2791.0	17088.0
405.48591263579874	2801.0	17317.0
405.9437989274459	2809.0	17396.0
406.40165689992676	2809.0	16978.0
406.8594865533999	2791.0	16592.0
407.31728788802445	2803.0	16397.0
407.77506090395934	2802.0	16377.0
408.2328056013635	2809.0	16606.0
408.69052198039606	2798.0	16886.0
409.14821004121575	2797.0	16961.0
409.6058697839816	2792.0	16726.0
410.06350120885253	2790.0	16695.0
410.52110431598766	2804.0	16562.0
410.97867910554584	2798.0	16509.0
411.436225577686	2797.0	16502.0
411.8937437325671	2797.0	16653.0
412.3512335703482	2793.0	16710.0
412.80869509118816	2795.0	16895.0
413.26612829524595	2798.0	17001.0
413.7235331826805	2801.0	17006.0
414.1809097536509	2797.0	16862.0
414.638258008316	2823.0	16670.0
415.09557794683474	2802.0	16623.0
415.5528695693661	2808.0	16561.0
416.0101328760691	2799.0	16517.0
416.4673678671027	2807.0	16705.0
416.92457454262575	2806.0	16544.0
417.38175290279725	2813.0	16522.0
417.8389029477762	2803.0	16514.0
418.29602467772156	2803.0	16554.0
418.75311809279225	2809.0	16524.0
419.21018319314726	2816.0	16528.0
419.66721997894547	2799.0	16660.0
420.124228450346	2795.0	16809.0
420.5812086075077	2801.0	17250.0
421.0381604505895	2789.0	17633.0
421.49508397975035	2803.0	18233.0
421.9519791951493	2800.0	18706.0
422.40884609694535	2795.0	18527.0
422.8656846852973	2798.0	18065.0
423.3224949603641	2805.0	17762.0
423.779276922305	2803.0	17571.0
424.2360305712786	2796.0	17379.0
424.692755907444	2810.0	17455.0
425.14945293096014	2793.0	17631.0
425.606121641986	2816.0	17517.0
426.0627620406807	2806.0	17116.0
426.51937412720287	2801.0	16691.0
426.9759579017117	2817.0	16653.0
427.4325133643661	2819.0	16880.0
427.88904051532506	2787.0	17112.0
428.3455393547475	2804.0	17213.0
428.8020098827922	2813.0	17488.0
429.2584520996184	2803.0	17911.0
429.71486600538503	2805.0	18694.0
430.17125160025086	2789.0	19237.0
430.627608884375	2796.0	19326.0
431.0839378579163	2796.0	19243.0
431.54023852103387	2813.0	18432.0
431.9965108738866	2798.0	17650.0
432.45275491663335	2795.0	17083.0
432.9089706494331	2804.0	17083.0
433.365158072445	2806.0	17026.0
433.82131718582787	2807.0	16793.0
434.2774479897406	2809.0	16834.0
434.7335504843423	2814.0	16611.0
435.18962466979184	2799.0	16912.0
435.6456705462482	2793.0	17054.0
436.10168811387024	2806.0	17335.0
436.557677372817	2804.0	17614.0
437.01363832324756	2790.0	17763.0
437.4695709653207	2808.0	17238.0
437.92547529919545	2811.0	17074.0
